variant,method,n,accuracy,ece,mean_confidence
balanced,majority,7947,1.0,0.5,0.5
balanced,weighted_pool,7947,1.0,0.448082479098032,0.5519175209019681
balanced,dst,7947,1.0,0.32709214927740815,0.6729078507225917
balanced,dst_provenance,7947,1.0,0.32709214927740815,0.6729078507225917
balanced,dsmt_pcr6,7947,1.0,0.39421414062084353,0.6057858593791565
balanced,dsmt_pcr6_provenance,7947,1.0,0.39421414062084353,0.6057858593791565
memory_repeat_x3,majority,7947,0.0,0.8000000000000002,0.8000000000000002
memory_repeat_x3,weighted_pool,7947,0.0,0.7643886471701239,0.7643886471701239
memory_repeat_x3,dst,7947,0.0,0.9374785154026631,0.9374785154026631
memory_repeat_x3,dst_provenance,7947,1.0,0.32709214927740815,0.6729078507225917
memory_repeat_x3,dsmt_pcr6,7947,0.0,0.7061152628897438,0.7061152628897438
memory_repeat_x3,dsmt_pcr6_provenance,7947,1.0,0.3820799079575421,0.6179200920424578
independent_memory_x3,majority,7947,0.0,0.8000000000000002,0.8000000000000002
independent_memory_x3,weighted_pool,7947,0.0,0.7643886471701239,0.7643886471701239
independent_memory_x3,dst,7947,0.0,0.9374785154026631,0.9374785154026631
independent_memory_x3,dst_provenance,7947,0.0,0.9374785154026631,0.9374785154026631
independent_memory_x3,dsmt_pcr6,7947,0.0,0.7061152628897438,0.7061152628897438
independent_memory_x3,dsmt_pcr6_provenance,7947,0.0,0.7061152628897438,0.7061152628897438
external_repeat_x3,majority,7947,1.0,0.19999999999999984,0.8000000000000002
external_repeat_x3,weighted_pool,7947,1.0,0.16884217832645376,0.8311578216735462
external_repeat_x3,dst,7947,1.0,0.002833080546181699,0.9971669194538183
external_repeat_x3,dst_provenance,7947,1.0,0.32709214927740815,0.6729078507225917
external_repeat_x3,dsmt_pcr6,7947,1.0,0.14591379746249472,0.8540862025375053
external_repeat_x3,dsmt_pcr6_provenance,7947,0.9981124952812382,0.4242084389403635,0.5739040563408748
