condition,rule,decision,n,accuracy,brier
independent_clean,dempster,betp,1000,1.0,3.4642141374460056e-05
independent_clean,dempster,dsmp_epsilon_0.001,1000,1.0,2.287308683006436e-10
independent_clean,dempster,max_belief,1000,1.0,nan
independent_clean,dempster,max_plausibility,1000,1.0,nan
independent_clean,dempster,min_belief_interval_distance,1000,1.0,nan
independent_clean,pcr6,betp,1000,1.0,3.4642141374460056e-05
independent_clean,pcr6,dsmp_epsilon_0.001,1000,1.0,2.287308683006436e-10
independent_clean,pcr6,max_belief,1000,1.0,nan
independent_clean,pcr6,max_plausibility,1000,1.0,nan
independent_clean,pcr6,min_belief_interval_distance,1000,1.0,nan
independent_clean,pcr6_plus,betp,1000,1.0,3.4642141374460056e-05
independent_clean,pcr6_plus,dsmp_epsilon_0.001,1000,1.0,2.287308683006436e-10
independent_clean,pcr6_plus,max_belief,1000,1.0,nan
independent_clean,pcr6_plus,max_plausibility,1000,1.0,nan
independent_clean,pcr6_plus,min_belief_interval_distance,1000,1.0,nan
partial_ignorance_conflict,dempster,betp,1000,0.985,0.1877638212871333
partial_ignorance_conflict,dempster,dsmp_epsilon_0.001,1000,0.981,0.179952089156577
partial_ignorance_conflict,dempster,max_belief,1000,0.994,nan
partial_ignorance_conflict,dempster,max_plausibility,1000,0.977,nan
partial_ignorance_conflict,dempster,min_belief_interval_distance,1000,0.985,nan
partial_ignorance_conflict,pcr6,betp,1000,1.0,0.31850862864349183
partial_ignorance_conflict,pcr6,dsmp_epsilon_0.001,1000,1.0,0.2313715441070682
partial_ignorance_conflict,pcr6,max_belief,1000,1.0,nan
partial_ignorance_conflict,pcr6,max_plausibility,1000,1.0,nan
partial_ignorance_conflict,pcr6,min_belief_interval_distance,1000,1.0,nan
partial_ignorance_conflict,pcr6_plus,betp,1000,1.0,0.27328919221540343
partial_ignorance_conflict,pcr6_plus,dsmp_epsilon_0.001,1000,1.0,0.2575291317405992
partial_ignorance_conflict,pcr6_plus,max_belief,1000,1.0,nan
partial_ignorance_conflict,pcr6_plus,max_plausibility,1000,1.0,nan
partial_ignorance_conflict,pcr6_plus,min_belief_interval_distance,1000,1.0,nan
vacuous_source_injection,dempster,betp,1000,0.985,0.1877638212871333
vacuous_source_injection,dempster,dsmp_epsilon_0.001,1000,0.981,0.179952089156577
vacuous_source_injection,dempster,max_belief,1000,0.994,nan
vacuous_source_injection,dempster,max_plausibility,1000,0.977,nan
vacuous_source_injection,dempster,min_belief_interval_distance,1000,0.985,nan
vacuous_source_injection,pcr6,betp,1000,1.0,0.4107633038813696
vacuous_source_injection,pcr6,dsmp_epsilon_0.001,1000,1.0,0.19718204428284955
vacuous_source_injection,pcr6,max_belief,1000,1.0,nan
vacuous_source_injection,pcr6,max_plausibility,1000,1.0,nan
vacuous_source_injection,pcr6,min_belief_interval_distance,1000,1.0,nan
vacuous_source_injection,pcr6_plus,betp,1000,1.0,0.27328919221540343
vacuous_source_injection,pcr6_plus,dsmp_epsilon_0.001,1000,1.0,0.2575291317405992
vacuous_source_injection,pcr6_plus,max_belief,1000,1.0,nan
vacuous_source_injection,pcr6_plus,max_plausibility,1000,1.0,nan
vacuous_source_injection,pcr6_plus,min_belief_interval_distance,1000,1.0,nan
near_vacuous_source_injection,dempster,betp,1000,0.985,0.18804954590464468
near_vacuous_source_injection,dempster,dsmp_epsilon_0.001,1000,0.981,0.18022596213477443
near_vacuous_source_injection,dempster,max_belief,1000,0.994,nan
near_vacuous_source_injection,dempster,max_plausibility,1000,0.977,nan
near_vacuous_source_injection,dempster,min_belief_interval_distance,1000,0.985,nan
near_vacuous_source_injection,pcr6,betp,1000,1.0,0.40419477218865346
near_vacuous_source_injection,pcr6,dsmp_epsilon_0.001,1000,1.0,0.200286236329791
near_vacuous_source_injection,pcr6,max_belief,1000,1.0,nan
near_vacuous_source_injection,pcr6,max_plausibility,1000,1.0,nan
near_vacuous_source_injection,pcr6,min_belief_interval_distance,1000,1.0,nan
near_vacuous_source_injection,pcr6_plus,betp,1000,1.0,0.27389575448979453
near_vacuous_source_injection,pcr6_plus,dsmp_epsilon_0.001,1000,1.0,0.25801192009909857
near_vacuous_source_injection,pcr6_plus,max_belief,1000,1.0,nan
near_vacuous_source_injection,pcr6_plus,max_plausibility,1000,1.0,nan
near_vacuous_source_injection,pcr6_plus,min_belief_interval_distance,1000,1.0,nan
