variant,method,n,exact_set,set_f1,precision,recall,brier_exact,nll_exact,ece_exact,mean_confidence
original,nli_pool_topk,500,0.54,0.7933333333333333,0.84,0.7693333333333334,0.42111782895460287,8.393568941341833,0.4218050792952648,0.9565940369244588
original,dst_nli_global_top1,500,0.15,0.5486666666666665,0.832,0.43499999999999994,0.5188293335048896,3.131657786204978,0.6197231967219197,0.7697231967219198
original,dst_nli_global_topk,500,0.6,0.8114666666666666,0.8376666666666667,0.7986666666666666,0.3591454008907572,5.032476292059652,0.3523688894791085,0.9499044199704548
original,dst_nli_factorized_provenance,500,0.594,0.8094666666666666,0.8356666666666667,0.7966666666666667,0.35044610180720065,2.9402896600497908,0.29498183569582187,0.6445465133987865
original,dsmt_nli_pcr6_provenance,500,0.594,0.8094666666666666,0.8356666666666667,0.7966666666666667,0.3151826289524347,2.787934372489538,0.2397523775542659,0.6666568360869037
duplicate_misinfo_x3,nli_pool_topk,500,0.522,0.78,0.8266666666666667,0.756,0.44646387243944685,8.503003123689627,0.4519133666313305,0.9657703189624319
duplicate_misinfo_x3,dst_nli_global_top1,500,0.142,0.5183333333333333,0.784,0.41133333333333333,0.5739743394033954,4.090446079372619,0.665565808155683,0.807565808155683
duplicate_misinfo_x3,dst_nli_global_topk,500,0.58,0.7988,0.825,0.786,0.39033516395498646,5.877059169993216,0.3832115141082185,0.9651768928553313
duplicate_misinfo_x3,dst_nli_factorized_provenance,500,0.594,0.8094666666666666,0.8356666666666667,0.7966666666666667,0.35044610180720065,2.9402896600497908,0.29498183569582187,0.6445465133987865
duplicate_misinfo_x3,dsmt_nli_pcr6_provenance,500,0.594,0.8094666666666666,0.8356666666666667,0.7966666666666667,0.3151826289524347,2.787934372489538,0.2397523775542659,0.6666568360869037
misinfo_dominant,nli_pool_topk,500,0.4,0.7294666666666667,0.804,0.6903333333333332,0.5672038937878251,12.784083918553108,0.5709888144219905,0.9709888144219906
misinfo_dominant,dst_nli_global_top1,500,0.132,0.5066666666666666,0.772,0.4,0.5297470806413261,3.627681145603014,0.6357185153517051,0.767718515351705
misinfo_dominant,dst_nli_global_topk,500,0.544,0.7784666666666665,0.8046666666666666,0.7656666666666666,0.4061856641568072,5.6676762154361695,0.40314745518433936,0.9511474551843394
misinfo_dominant,dst_nli_factorized_provenance,500,0.562,0.7928,0.819,0.78,0.3504075377355921,3.4834562767335364,0.30619449455477066,0.657225977962935
misinfo_dominant,dsmt_nli_pcr6_provenance,500,0.562,0.7928,0.819,0.78,0.33142121059219665,3.399462528400552,0.2664208445476275,0.6741959135604938
