condition,rule,n,undefined,accuracy,brier,nll,ece,nonspecificity
independent_clean,dempster,1000,0,1.0,3.4642141374460056e-05,0.004770757875773499,0.004758088342957101,0.010416943945757417
independent_clean,pcr6,1000,0,1.0,3.4642141374460056e-05,0.004770757875773499,0.004758088342957101,0.010416943945757417
independent_clean,pcr6_plus,1000,0,1.0,3.4642141374460056e-05,0.004770757875773499,0.004758088342957101,0.010416943945757417
near_vacuous_source_injection,dempster,1000,0,0.985,0.18804954590464468,0.4187163058434444,0.3180170901891228,0.09827486402359036
near_vacuous_source_injection,pcr6,1000,0,1.0,0.40419477218865346,0.7839045346534743,0.5425170183193198,0.9088394523918969
near_vacuous_source_injection,pcr6_plus,1000,0,1.0,0.27389575448979453,0.5592174349544998,0.42708478224599755,0.25342747429002604
partial_ignorance_conflict,dempster,1000,0,0.985,0.1877638212871333,0.4177888595401978,0.31670152111156374,0.09837570795721798
partial_ignorance_conflict,pcr6,1000,0,1.0,0.31850862864349183,0.639782859664846,0.47148771106321463,0.5188320992406871
partial_ignorance_conflict,pcr6_plus,1000,0,1.0,0.27328919221540343,0.5574626980282489,0.4260764564419432,0.25299298332827486
vacuous_source_injection,dempster,1000,0,0.985,0.1877638212871333,0.4177888595401978,0.31670152111156374,0.09837570795721798
vacuous_source_injection,pcr6,1000,0,1.0,0.4107633038813696,0.7944880769664734,0.547327673577704,0.940096664723599
vacuous_source_injection,pcr6_plus,1000,0,1.0,0.27328919221540343,0.5574626980282489,0.4260764564419432,0.25299298332827486
