variant,target,comparator,f1_difference,ci95_low,ci95_high
original,dsmt_pcr6_factorized,dst_factorized,-0.0013333333333333335,-0.003333333333333334,0.0
original,dsmt_pcr6_provenance,dst_factorized_provenance,-0.0013333333333333335,-0.003333333333333334,0.0
original,dsmt_pcr6_provenance,dsmt_pcr6_factorized,0.0,0.0,0.0
original,dsmt_pcr6_provenance,majority_topk,0.044333333333333336,0.030000000000000002,0.05866666666666667
duplicate_misinfo_x3,dsmt_pcr6_factorized,dst_factorized,-0.0013333333333333335,-0.003333333333333334,0.0
duplicate_misinfo_x3,dsmt_pcr6_provenance,dst_factorized_provenance,0.013333333333333334,0.006,0.023333333333333334
duplicate_misinfo_x3,dsmt_pcr6_provenance,dsmt_pcr6_factorized,0.20533333333333334,0.17765833333333336,0.233
duplicate_misinfo_x3,dsmt_pcr6_provenance,majority_topk,0.23233333333333334,0.2036666666666667,0.261
misinfo_dominant,dsmt_pcr6_factorized,dst_factorized,0.0,0.0,0.0
misinfo_dominant,dsmt_pcr6_provenance,dst_factorized_provenance,-0.004333333333333333,-0.01933333333333333,0.010666666666666666
misinfo_dominant,dsmt_pcr6_provenance,dsmt_pcr6_factorized,0.1423333333333333,0.11831666666666668,0.16566666666666668
misinfo_dominant,dsmt_pcr6_provenance,majority_topk,0.156,0.13066666666666668,0.1796666666666667
