variant,method,n,exact_set,set_f1,precision,recall,ece_exact,mean_confidence
original,majority_topk,500,0.648,0.8461333333333332,0.8723333333333333,0.8333333333333333,0.24141262626262616,0.886479292929293
original,relevance_topk,500,0.716,0.8764666666666666,0.9026666666666667,0.8636666666666667,0.1867516348285695,0.8923533110315902
original,dst_global_top1,500,0.172,0.6173333333333333,0.938,0.48966666666666664,0.5723450412242318,0.7443450412242318
original,dst_global_topk,500,0.72,0.8777999999999999,0.904,0.865,0.21779747317579465,0.9437974731757948
original,dst_factorized,500,0.754,0.8917999999999999,0.918,0.879,0.16056351523121837,0.8013518624359879
original,dst_factorized_provenance,500,0.754,0.8917999999999999,0.918,0.879,0.1605582597520075,0.8013571179151987
original,dsmt_pcr6_factorized,500,0.75,0.8904666666666666,0.9166666666666666,0.8776666666666666,0.13283173491153077,0.7904040610114612
original,dsmt_pcr6_provenance,500,0.75,0.8904666666666666,0.9166666666666666,0.8776666666666666,0.13277208964792037,0.7904637062750715
duplicate_misinfo_x3,majority_topk,500,0.424,0.6908,0.717,0.678,0.49002625152625157,0.9140262515262516
duplicate_misinfo_x3,relevance_topk,500,0.428,0.6978,0.724,0.685,0.48318205866631375,0.9111820586663137
duplicate_misinfo_x3,dst_global_top1,500,0.096,0.38166666666666665,0.584,0.30033333333333334,0.7258317153000331,0.8218317153000332
duplicate_misinfo_x3,dst_global_topk,500,0.438,0.7054666666666666,0.7316666666666666,0.6926666666666667,0.5377476836453601,0.9757476836453601
duplicate_misinfo_x3,dst_factorized,500,0.464,0.7191333333333332,0.7453333333333333,0.7063333333333333,0.4279364466600093,0.8359114895837738
duplicate_misinfo_x3,dst_factorized_provenance,500,0.782,0.9097999999999999,0.936,0.897,0.15980349306357644,0.8031692032413275
duplicate_misinfo_x3,dsmt_pcr6_factorized,500,0.46,0.7178,0.744,0.705,0.3474022571335673,0.8074022571335674
duplicate_misinfo_x3,dsmt_pcr6_provenance,500,0.806,0.9231333333333333,0.9493333333333334,0.9103333333333333,0.19297612328140012,0.7868020996247994
misinfo_dominant,majority_topk,500,0.424,0.6898,0.716,0.677,0.4882039682539681,0.9122039682539683
misinfo_dominant,relevance_topk,500,0.424,0.6898,0.716,0.677,0.4846431576599498,0.9086431576599497
misinfo_dominant,dst_global_top1,500,0.09,0.343,0.522,0.271,0.6420030493475308,0.7320030493475309
misinfo_dominant,dst_global_topk,500,0.434,0.6978,0.724,0.685,0.5334526235380239,0.9659921772905593
misinfo_dominant,dst_factorized,500,0.434,0.7034666666666666,0.7296666666666666,0.6906666666666667,0.45157985723740257,0.8514475945007363
misinfo_dominant,dst_factorized_provenance,500,0.678,0.8501333333333332,0.8763333333333333,0.8373333333333333,0.15606628545416018,0.8129064505538383
misinfo_dominant,dsmt_pcr6_factorized,500,0.434,0.7034666666666666,0.7296666666666666,0.6906666666666667,0.39295449271841215,0.8269544927184123
misinfo_dominant,dsmt_pcr6_provenance,500,0.676,0.8458,0.872,0.833,0.13167379737183438,0.7981075676453788
